pnt* 233 583 red red
x : 1126.000000 y : 28.750000
x : 1120.000000 y : 35.000000
x : 1126.000000 y : 35.000000
x : 1120.000000 y : 41.250000
x : 1126.000000 y : 41.250000
x : 1102.000000 y : 47.500000
x : 1120.000000 y : 47.500000
x : 1126.000000 y : 47.500000
x : 1144.000000 y : 47.500000
x : 1102.000000 y : 53.750000
x : 1108.000000 y : 53.750000
x : 1114.000000 y : 53.750000
x : 1120.000000 y : 53.750000
x : 1126.000000 y : 53.750000
x : 1132.000000 y : 53.750000
x : 1138.000000 y : 53.750000
x : 1144.000000 y : 53.750000
x : 1160.000000 y : 10.000000
x : 1166.000000 y : 10.000000
x : 1172.000000 y : 10.000000
x : 1178.000000 y : 10.000000
x : 1184.000000 y : 10.000000
x : 1190.000000 y : 10.000000
x : 1196.000000 y : 10.000000
x : 1154.000000 y : 16.250000
x : 1154.000000 y : 22.500000
x : 1160.000000 y : 28.750000
x : 1166.000000 y : 28.750000
x : 1172.000000 y : 28.750000
x : 1178.000000 y : 28.750000
x : 1184.000000 y : 28.750000
x : 1190.000000 y : 28.750000
x : 1196.000000 y : 35.000000
x : 1196.000000 y : 41.250000
x : 1196.000000 y : 47.500000
x : 1154.000000 y : 53.750000
x : 1160.000000 y : 53.750000
x : 1166.000000 y : 53.750000
x : 1172.000000 y : 53.750000
x : 1178.000000 y : 53.750000
x : 1184.000000 y : 53.750000
x : 1190.000000 y : 53.750000
x : 1206.000000 y : 10.000000
x : 1212.000000 y : 10.000000
x : 1218.000000 y : 10.000000
x : 1224.000000 y : 10.000000
x : 1230.000000 y : 10.000000
x : 1236.000000 y : 10.000000
x : 1242.000000 y : 10.000000
x : 1248.000000 y : 10.000000
x : 1206.000000 y : 16.250000
x : 1224.000000 y : 16.250000
x : 1230.000000 y : 16.250000
x : 1248.000000 y : 16.250000
x : 1224.000000 y : 22.500000
x : 1230.000000 y : 22.500000
x : 1224.000000 y : 28.750000
x : 1230.000000 y : 28.750000
x : 1224.000000 y : 35.000000
x : 1230.000000 y : 35.000000
x : 1224.000000 y : 41.250000
x : 1230.000000 y : 41.250000
x : 1224.000000 y : 47.500000
x : 1230.000000 y : 47.500000
x : 1224.000000 y : 53.750000
x : 1230.000000 y : 53.750000
x : 1264.000000 y : 10.000000
x : 1270.000000 y : 10.000000
x : 1276.000000 y : 10.000000
x : 1282.000000 y : 10.000000
x : 1288.000000 y : 10.000000
x : 1294.000000 y : 10.000000
x : 1258.000000 y : 16.250000
x : 1300.000000 y : 16.250000
x : 1258.000000 y : 22.500000
x : 1300.000000 y : 22.500000
x : 1258.000000 y : 28.750000
x : 1300.000000 y : 28.750000
x : 1258.000000 y : 35.000000
x : 1264.000000 y : 35.000000
x : 1270.000000 y : 35.000000
x : 1276.000000 y : 35.000000
x : 1282.000000 y : 35.000000
x : 1288.000000 y : 35.000000
x : 1294.000000 y : 35.000000
x : 1300.000000 y : 35.000000
x : 1258.000000 y : 41.250000
x : 1300.000000 y : 41.250000
x : 1258.000000 y : 47.500000
x : 1300.000000 y : 47.500000
x : 1258.000000 y : 53.750000
x : 1300.000000 y : 53.750000
x : 16.000000 y : 62.500000
x : 22.000000 y : 62.500000
x : 28.000000 y : 62.500000
x : 34.000000 y : 62.500000
x : 40.000000 y : 62.500000
x : 46.000000 y : 62.500000
x : 10.000000 y : 68.750000
x : 52.000000 y : 68.750000
x : 10.000000 y : 75.000000
x : 52.000000 y : 75.000000
x : 10.000000 y : 81.250000
x : 52.000000 y : 81.250000
x : 10.000000 y : 87.500000
x : 16.000000 y : 87.500000
x : 22.000000 y : 87.500000
x : 28.000000 y : 87.500000
x : 34.000000 y : 87.500000
x : 40.000000 y : 87.500000
x : 46.000000 y : 87.500000
x : 52.000000 y : 87.500000
x : 10.000000 y : 93.750000
x : 52.000000 y : 93.750000
x : 10.000000 y : 100.000000
x : 52.000000 y : 100.000000
x : 10.000000 y : 106.250000
x : 52.000000 y : 106.250000
x : 62.000000 y : 62.500000
x : 68.000000 y : 62.500000
x : 98.000000 y : 62.500000
x : 104.000000 y : 62.500000
x : 62.000000 y : 68.750000
x : 68.000000 y : 68.750000
x : 98.000000 y : 68.750000
x : 104.000000 y : 68.750000
x : 62.000000 y : 75.000000
