pnt* 9 266 red red
x : 352.000000 y : 53.750000
x : 358.000000 y : 53.750000
x : 426.000000 y : 10.000000
x : 432.000000 y : 10.000000
x : 438.000000 y : 10.000000
x : 444.000000 y : 10.000000
x : 450.000000 y : 10.000000
x : 456.000000 y : 10.000000
x : 462.000000 y : 10.000000
x : 468.000000 y : 10.000000
x : 426.000000 y : 16.250000
x : 444.000000 y : 16.250000
x : 450.000000 y : 16.250000
x : 468.000000 y : 16.250000
x : 444.000000 y : 22.500000
x : 450.000000 y : 22.500000
x : 444.000000 y : 28.750000
x : 450.000000 y : 28.750000
x : 444.000000 y : 35.000000
x : 450.000000 y : 35.000000
x : 444.000000 y : 41.250000
x : 450.000000 y : 41.250000
x : 444.000000 y : 47.500000
x : 450.000000 y : 47.500000
x : 444.000000 y : 53.750000
x : 450.000000 y : 53.750000
x : 478.000000 y : 10.000000
x : 484.000000 y : 10.000000
x : 490.000000 y : 10.000000
x : 496.000000 y : 10.000000
x : 502.000000 y : 10.000000
x : 508.000000 y : 10.000000
x : 514.000000 y : 10.000000
x : 478.000000 y : 16.250000
x : 520.000000 y : 16.250000
x : 478.000000 y : 22.500000
x : 520.000000 y : 22.500000
x : 478.000000 y : 28.750000
x : 484.000000 y : 28.750000
x : 490.000000 y : 28.750000
x : 496.000000 y : 28.750000
x : 502.000000 y : 28.750000
x : 508.000000 y : 28.750000
x : 514.000000 y : 28.750000
x : 478.000000 y : 35.000000
x : 502.000000 y : 35.000000
x : 478.000000 y : 41.250000
x : 508.000000 y : 41.250000
x : 478.000000 y : 47.500000
x : 514.000000 y : 47.500000
x : 478.000000 y : 53.750000
x : 520.000000 y : 53.750000
x : 530.000000 y : 10.000000
x : 536.000000 y : 10.000000
x : 542.000000 y : 10.000000
x : 548.000000 y : 10.000000
x : 554.000000 y : 10.000000
x : 560.000000 y : 10.000000
x : 566.000000 y : 10.000000
x : 572.000000 y : 10.000000
x : 530.000000 y : 16.250000
x : 548.000000 y : 16.250000
x : 554.000000 y : 16.250000
x : 572.000000 y : 16.250000
x : 548.000000 y : 22.500000
x : 554.000000 y : 22.500000
x : 548.000000 y : 28.750000
x : 554.000000 y : 28.750000
x : 548.000000 y : 35.000000
x : 554.000000 y : 35.000000
x : 548.000000 y : 41.250000
x : 554.000000 y : 41.250000
x : 530.000000 y : 47.500000
x : 548.000000 y : 47.500000
x : 554.000000 y : 47.500000
x : 572.000000 y : 47.500000
x : 530.000000 y : 53.750000
x : 536.000000 y : 53.750000
x : 542.000000 y : 53.750000
x : 548.000000 y : 53.750000
x : 554.000000 y : 53.750000
x : 560.000000 y : 53.750000
x : 566.000000 y : 53.750000
x : 572.000000 y : 53.750000
x : 582.000000 y : 10.000000
x : 588.000000 y : 10.000000
x : 594.000000 y : 10.000000
x : 600.000000 y : 10.000000
x : 606.000000 y : 10.000000
x : 612.000000 y : 10.000000
x : 618.000000 y : 10.000000
x : 624.000000 y : 10.000000
x : 582.000000 y : 16.250000
x : 582.000000 y : 22.500000
x : 582.000000 y : 28.750000
x : 582.000000 y : 35.000000
x : 582.000000 y : 41.250000
x : 582.000000 y : 47.500000
x : 582.000000 y : 53.750000
x : 588.000000 y : 53.750000
x : 594.000000 y : 53.750000
x : 600.000000 y : 53.750000
x : 606.000000 y : 53.750000
x : 612.000000 y : 53.750000
x : 618.000000 y : 53.750000
x : 624.000000 y : 53.750000
x : 640.000000 y : 10.000000
x : 646.000000 y : 10.000000
x : 652.000000 y : 10.000000
x : 658.000000 y : 10.000000
x : 664.000000 y : 10.000000
x : 670.000000 y : 10.000000
x : 634.000000 y : 16.250000
x : 676.000000 y : 16.250000
x : 634.000000 y : 22.500000
x : 676.000000 y : 22.500000
x : 634.000000 y : 28.750000
x : 676.000000 y : 28.750000
x : 634.000000 y : 35.000000
x : 676.000000 y : 35.000000
x : 634.000000 y : 41.250000
x : 676.000000 y : 41.250000
x : 634.000000 y : 47.500000
